iter	Logloss
0	0.6820906674
1	0.6697092022
2	0.6578483925
3	0.6464347667
4	0.6353816799
5	0.6250369771
6	0.6154587928
7	0.6067335619
8	0.5972345817
9	0.5887473945
10	0.580458379
11	0.5737188822
12	0.566067901
13	0.5592706388
14	0.5519454224
15	0.5451596176
16	0.5381023948
17	0.5325664761
18	0.5272725791
19	0.5213777418
20	0.5165294495
21	0.5116262285
22	0.5069939086
23	0.5024311965
24	0.497963903
25	0.4937195386
26	0.4897970581
27	0.4861244433
28	0.4820735666
29	0.4781242689
30	0.4746055437
31	0.4711893758
32	0.468050911
33	0.4644350311
34	0.4611725495
35	0.4583217596
36	0.4554867761
37	0.4528115703
38	0.4502371719
39	0.4478545943
40	0.4453616417
41	0.4428101399
42	0.4400510018
43	0.4381205996
44	0.4358755617
45	0.4333348397
46	0.4310198444
47	0.4292261134
48	0.4270550002
49	0.4252959106
50	0.4237177188
51	0.4220478078
52	0.42037063
53	0.4188825577
54	0.4175330654
55	0.4155618045
56	0.4141268937
57	0.412648936
58	0.4111437429
59	0.4099180016
60	0.4087716936
61	0.4075753679
62	0.406453079
63	0.40523512
64	0.4042032205
65	0.4032125713
66	0.4020038533
67	0.4007221507
68	0.3997634803
69	0.3987322846
70	0.3974473692
71	0.3966273371
72	0.3955966992
73	0.3948810051
74	0.393905935
75	0.3928810886
76	0.3921637801
77	0.3913146076
78	0.3905198406
79	0.3900013027
80	0.3892597306
81	0.3886271687
82	0.3876793365
83	0.3869050833
84	0.3863667124
85	0.3857234656
86	0.3848763301
87	0.3842958665
88	0.383460991
89	0.3829746015
90	0.3823728143
91	0.3818117472
92	0.3812872252
93	0.3806764587
94	0.3802050439
95	0.3796791523
96	0.3791476732
97	0.3788218113
98	0.3784169963
99	0.3778567613
100	0.3773556602
101	0.3769387787
102	0.3765430372
103	0.3761138741
104	0.3756781662
105	0.3751576852
106	0.3747212328
107	0.374253416
108	0.3738731892
109	0.373621472
110	0.3731948547
111	0.3728318918
112	0.3724873441
113	0.3720618486
114	0.3715637365
115	0.3713845192
116	0.3710947138
117	0.3707977706
118	0.3705265108
119	0.3702237831
120	0.369850886
121	0.369348688
122	0.3691236308
123	0.368886384
124	0.3684693771
125	0.3681282621
126	0.3678640516
127	0.3675445919
128	0.3672060503
129	0.3668713622
130	0.3665424933
131	0.3662651213
132	0.3659569846
133	0.365807408
134	0.3656205711
135	0.3653620977
136	0.3650810256
137	0.3648479879
138	0.3645640969
139	0.3643201082
140	0.3640861901
141	0.3638306391
142	0.3633904979
143	0.3632262053
144	0.3628918618
145	0.3626571483
146	0.3622965445
147	0.3619239618
148	0.361769476
149	0.3614398959
150	0.3612319596
151	0.360920705
152	0.3606483152
153	0.3604354534
154	0.3601958606
155	0.3599517307
156	0.3596875554
157	0.3594944409
158	0.3593915986
159	0.3592683472
160	0.3591321504
161	0.358964197
162	0.3587988952
163	0.3586897976
164	0.3585850569
165	0.3583616824
166	0.3581891985
167	0.3580048425
168	0.3577520242
169	0.357539534
170	0.3572302882
171	0.3570488764
172	0.3568203195
173	0.3564165093
174	0.3562654805
175	0.3560613805
176	0.3558682699
177	0.3556924876
178	0.3555536896
179	0.3554133615
180	0.3552366437
181	0.3549158601
182	0.3545186656
183	0.3543161456
184	0.354094533
185	0.3539558013
186	0.353845395
187	0.353692139
188	0.3536026378
189	0.3533644679
190	0.3529953136
191	0.3528033822
192	0.3526526989
193	0.3526037377
194	0.3524889325
195	0.3523068193
196	0.3521321606
197	0.3519942556
198	0.3519428849
199	0.3517919989
200	0.351581154
201	0.3513563434
202	0.3511782905
203	0.3510715914
204	0.3509837212
205	0.3508214807
206	0.3507064781
207	0.3505529115
208	0.3502072839
209	0.3500452148
210	0.3499505514
211	0.3497549194
212	0.3495606965
213	0.3493522799
214	0.349182936
215	0.3490524874
216	0.3488987076
217	0.3487373364
218	0.3485059386
219	0.3483189373
220	0.3480886005
221	0.3479156944
222	0.347746649
223	0.3476322567
224	0.3474403388
225	0.3473661494
226	0.3470787135
227	0.3469374047
228	0.3468336392
229	0.3466714824
230	0.3462938949
231	0.3459501032
232	0.3457359132
233	0.3454935672
234	0.3453721076
235	0.3451907464
236	0.3450743845
237	0.3449181318
238	0.3448385558
239	0.3447161484
240	0.3446564939
241	0.3445631572
242	0.3444134756
243	0.3442309223
244	0.3439591794
245	0.3436782656
246	0.3435538415
247	0.3433578583
248	0.3433090933
249	0.3431732912
250	0.3430258606
251	0.3429258232
252	0.342600867
253	0.3424581541
254	0.3422131762
255	0.3419552708
256	0.341779337
257	0.3416644641
258	0.341424653
259	0.3413252358
260	0.3411651685
261	0.3410422029
262	0.3408781214
263	0.3407204913
264	0.3406254781
265	0.3405121352
266	0.3402430041
267	0.3401655339
268	0.3399651979
269	0.3398523819
270	0.3396723457
271	0.3396097365
272	0.3395669681
273	0.3394977422
274	0.3394138683
275	0.3392304866
276	0.3391572215
277	0.3390205248
278	0.3388224068
279	0.3386991483
280	0.3385219894
281	0.3383063829
282	0.3382172736
283	0.3381047101
284	0.337956623
285	0.337804363
286	0.3377269979
287	0.3375932101
288	0.3373972529
289	0.3371484706
290	0.337110727
291	0.337027602
292	0.3369153749
293	0.3367073657
294	0.3366081039
295	0.3364760456
296	0.3363026222
297	0.3362115077
298	0.3361595249
299	0.3360845887
300	0.3359605438
301	0.3358202142
302	0.3357815388
303	0.3356416884
304	0.3355377218
305	0.3353864377
306	0.3351788813
307	0.3350659827
308	0.3348852252
309	0.3347965616
310	0.3346044754
311	0.3345229804
312	0.3342641289
313	0.3341950135
314	0.3341411614
315	0.3340806469
316	0.3339455075
317	0.3338563977
318	0.333787726
319	0.3337226746
320	0.3335779644
321	0.3334630684
322	0.3332229316
323	0.333040588
324	0.3329656359
325	0.3328218851
326	0.3326060311
327	0.3325047021
328	0.3324165435
329	0.3322831849
330	0.33206524
331	0.3318973408
332	0.3318154069
333	0.3316289352
334	0.3315516932
335	0.3313701101
336	0.3312461466
337	0.3311111414
338	0.3309044692
339	0.3307816297
340	0.3307139137
341	0.3306045299
342	0.3305058265
343	0.3303854609
344	0.3303039532
345	0.3301485212
346	0.3300761622
347	0.330051589
348	0.3299638017
349	0.3298158891
350	0.3296559883
351	0.3294774702
